,species,lat,long
153,Petersianthus macrocarpus (P.Beauv.) Liben,-1.77638,13.25355
154,Petersianthus macrocarpus (P.Beauv.) Liben,-1.73295,13.26237
155,Petersianthus macrocarpus (P.Beauv.) Liben,-1.82252,13.23166
156,Petersianthus macrocarpus (P.Beauv.) Liben,7.4,-7.166667
157,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.4791,-8.84211
161,Petersianthus macrocarpus (P.Beauv.) Liben,-1.418355,11.428577
162,Petersianthus macrocarpus (P.Beauv.) Liben,-1.287262,11.592122
163,Petersianthus macrocarpus (P.Beauv.) Liben,-1.380363,11.590603
165,Petersianthus macrocarpus (P.Beauv.) Liben,-1.379839,11.591115
166,Petersianthus macrocarpus (P.Beauv.) Liben,-1.379114,11.592165
167,Petersianthus macrocarpus (P.Beauv.) Liben,-1.380012,11.589552
168,Petersianthus macrocarpus (P.Beauv.) Liben,-1.380501,11.589122
169,Petersianthus macrocarpus (P.Beauv.) Liben,2.156363,11.896063
170,Petersianthus macrocarpus (P.Beauv.) Liben,2.167441,11.896063
171,Petersianthus macrocarpus (P.Beauv.) Liben,2.165067,11.896063
172,Petersianthus macrocarpus (P.Beauv.) Liben,2.163961,11.896063
173,Petersianthus macrocarpus (P.Beauv.) Liben,2.163761,11.896063
174,Petersianthus macrocarpus (P.Beauv.) Liben,2.145597,11.896063
175,Petersianthus macrocarpus (P.Beauv.) Liben,2.149225,11.896063
176,Petersianthus macrocarpus (P.Beauv.) Liben,2.162297,11.896063
177,Petersianthus macrocarpus (P.Beauv.) Liben,2.15971,11.896063
178,Petersianthus macrocarpus (P.Beauv.) Liben,2.179366,11.896063
179,Petersianthus macrocarpus (P.Beauv.) Liben,2.186609,11.896063
180,Petersianthus macrocarpus (P.Beauv.) Liben,2.164249,11.896063
181,Petersianthus macrocarpus (P.Beauv.) Liben,2.167827,11.896063
182,Petersianthus macrocarpus (P.Beauv.) Liben,2.162087,11.896063
183,Petersianthus macrocarpus (P.Beauv.) Liben,2.183442,11.896063
184,Petersianthus macrocarpus (P.Beauv.) Liben,2.179624,11.896063
185,Petersianthus macrocarpus (P.Beauv.) Liben,2.175827,11.896063
186,Petersianthus macrocarpus (P.Beauv.) Liben,2.161877,11.896063
187,Petersianthus macrocarpus (P.Beauv.) Liben,2.158384,11.896063
188,Petersianthus macrocarpus (P.Beauv.) Liben,2.168749,11.896063
189,Petersianthus macrocarpus (P.Beauv.) Liben,-1.77694,13.25414
190,Petersianthus macrocarpus (P.Beauv.) Liben,-1.78922,13.2477
191,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.39022,-9.34588
193,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.39264,-9.34343
194,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.39312,-9.34319
195,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.23579,-9.187
196,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.39296,-9.3431
197,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.23619,-9.18664
198,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.23491,-9.18722
200,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.23656,-9.18651
202,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.37562,-9.43752
204,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.37555,-9.43761
205,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.38116,-9.43417
209,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.38573,-9.30503
210,Petersianthus macrocarpus (P.Beauv.) Liben,5.36065,-3.91562
211,Petersianthus macrocarpus (P.Beauv.) Liben,0.397656,10.592985
212,Petersianthus macrocarpus (P.Beauv.) Liben,0.383343,10.590639
213,Petersianthus macrocarpus (P.Beauv.) Liben,0.53667,10.661978
214,Petersianthus macrocarpus (P.Beauv.) Liben,0.522259,10.62568
215,Petersianthus macrocarpus (P.Beauv.) Liben,0.478838,10.622601
216,Petersianthus macrocarpus (P.Beauv.) Liben,0.488358,10.634614
217,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10151,11.58609
218,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10153,11.58904
219,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10157,11.59355
220,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10159,11.59803
221,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10156,11.60257
222,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10591,11.5846
223,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10596,11.58903
224,Petersianthus macrocarpus (P.Beauv.) Liben,-2.1059,11.59352
225,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10592,11.59803
226,Petersianthus macrocarpus (P.Beauv.) Liben,-2.10585,11.60255
227,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11045,11.58459
