,species,lat,long
1430,Funtumia africana (Benth.) Stapf,-0.733333,12.966667
1432,Funtumia africana (Benth.) Stapf,-4.984444,15.134722
1433,Funtumia africana (Benth.) Stapf,-5.061944,15.128056
1434,Funtumia africana (Benth.) Stapf,-3.369331,37.349197
1435,Funtumia africana (Benth.) Stapf,6.857515,2.080963
1436,Funtumia africana (Benth.) Stapf,6.663899,2.124463
1437,Funtumia africana (Benth.) Stapf,6.657348,2.137427
1438,Funtumia africana (Benth.) Stapf,6.971374,2.623898
1439,Funtumia africana (Benth.) Stapf,6.75727,2.690326
1440,Funtumia latifolia (Stapf) Stapf,6.9666,2.6833
1441,Funtumia africana (Benth.) Stapf,2.1,10.016667
1442,Funtumia africana (Benth.) Stapf,-4.983333,38.866667
1443,Funtumia africana (Benth.) Stapf,2.55,10.37
1444,Funtumia africana (Benth.) Stapf,-5.116667,38.65
1445,Funtumia africana (Benth.) Stapf,2.916667,10.616667
1446,Funtumia africana (Benth.) Stapf,1.65,10.3
1447,Funtumia africana (Benth.) Stapf,5.4,-4.066667
1448,Funtumia africana (Benth.) Stapf,-0.766667,13.05
1450,Funtumia africana (Benth.) Stapf,-0.76666,13.05
1454,Funtumia africana (Benth.) Stapf,-0.25,11.666667
1455,Funtumia africana (Benth.) Stapf,0.266667,-0.416667
1456,Funtumia africana (Benth.) Stapf,6.28,-0.42
1457,Funtumia africana (Benth.) Stapf,6.28083,-0.41916
1458,Funtumia africana (Benth.) Stapf,6.280833,-0.419167
1459,Funtumia africana (Benth.) Stapf,7.716667,0.816667
1460,Funtumia africana (Benth.) Stapf,7.516667,0.883333
1461,Funtumia africana (Benth.) Stapf,7.533333,0.9
1463,Funtumia africana (Benth.) Stapf,-0.9831,29.6196
1464,Funtumia africana (Benth.) Stapf,-1.0452,29.7807
1465,Funtumia africana (Benth.) Stapf,7,0.75
1466,Funtumia africana (Benth.) Stapf,7,0.052083
1467,Funtumia africana (Benth.) Stapf,7,0.8
1468,Funtumia africana (Benth.) Stapf,-0.2794,30.0479
1469,Funtumia africana (Benth.) Stapf,0.544,30.4988
1470,Funtumia africana (Benth.) Stapf,1.8173,31.683
1471,Funtumia africana (Benth.) Stapf,1.7075,31.4724
1472,Funtumia africana (Benth.) Stapf,1.8002,31.5939
1473,Funtumia africana (Benth.) Stapf,-0.984,29.6934
1474,Funtumia africana (Benth.) Stapf,0.4261,30.5114
1475,Funtumia africana (Benth.) Stapf,0.3523,30.3701
1476,Funtumia africana (Benth.) Stapf,-1.466667,11.551667
1478,Funtumia africana (Benth.) Stapf,-1.466667,11.551666
1479,Funtumia africana (Benth.) Stapf,-1.46667,11.5517
1481,Funtumia africana (Benth.) Stapf,1.1595,30.8191
1482,Funtumia africana (Benth.) Stapf,0.8103,30.9802
1483,Funtumia africana (Benth.) Stapf,0.8706,30.7291
1484,Funtumia africana (Benth.) Stapf,0.5534,30.8133
1485,Funtumia africana (Benth.) Stapf,0.6466,30.3872
1488,Funtumia africana (Benth.) Stapf,-1.75115,31.61913
1489,Funtumia africana (Benth.) Stapf,-0.211,30.3593
1490,Funtumia africana (Benth.) Stapf,-0.1822,30.2603
1491,Funtumia africana (Benth.) Stapf,-0.3541,30.1262
1492,Funtumia africana (Benth.) Stapf,-0.2623,30.1568
1493,Funtumia africana (Benth.) Stapf,-0.274,30.2918
1494,Funtumia africana (Benth.) Stapf,-0.382,30.2288
1495,Funtumia africana (Benth.) Stapf,3.15,13
1496,Funtumia africana (Benth.) Stapf,-0.916667,12.85
1497,Funtumia africana (Benth.) Stapf,-1.05,13.2
1504,Funtumia africana (Benth.) Stapf,-0.4018,30.0389
1505,Funtumia africana (Benth.) Stapf,-0.4774,30.074
1506,Funtumia africana (Benth.) Stapf,-0.4504,30.0308
1507,Funtumia africana (Benth.) Stapf,-0.337,30.0857
1512,Funtumia africana (Benth.) Stapf,1.7025,9.708333
1518,Funtumia africana (Benth.) Stapf,-0.5827,29.84
1519,Funtumia africana (Benth.) Stapf,-0.666667,13
1522,Funtumia africana (Benth.) Stapf,-0.67,13
1527,Funtumia africana (Benth.) Stapf,-1.333333,21.95
1528,Funtumia africana (Benth.) Stapf,-10.116667,39.2
1529,Funtumia africana (Benth.) Stapf,-1.6,11.71666
1530,Funtumia africana (Benth.) Stapf,-1.6,11.716667
1535,Funtumia africana (Benth.) Stapf,-4.95,39.683333
1536,Funtumia africana (Benth.) Stapf,-1.983333,11.316667
1538,Funtumia africana (Benth.) Stapf,-1.98333,11.31666
1541,Funtumia africana (Benth.) Stapf,0.2,11.883333
1544,Funtumia africana (Benth.) Stapf,6.63,-1.28
1547,Funtumia africana (Benth.) Stapf,7.58,0.6
1549,Funtumia africana (Benth.) Stapf,7.6,0.6
1551,Funtumia africana (Benth.) Stapf,6.633333,-1.283333
1554,Funtumia africana (Benth.) Stapf,-0.833333,12.916667
1555,Funtumia africana (Benth.) Stapf,-0.933333,12.583333
1560,Funtumia africana (Benth.) Stapf,5.316667,-4.133333
1565,Funtumia africana (Benth.) Stapf,-0.833333,12.9167
1571,Funtumia africana (Benth.) Stapf,4.62,9.43
1572,Funtumia africana (Benth.) Stapf,4.616667,9.433333
1574,Funtumia africana (Benth.) Stapf,7.53,0.9
1576,Funtumia africana (Benth.) Stapf,7.5,0.9
1583,Funtumia africana (Benth.) Stapf,3.75,8.733333
1589,Funtumia africana (Benth.) Stapf,-5.116667,38.7
1593,Funtumia africana (Benth.) Stapf,0.76666,30.46666
1594,Funtumia africana (Benth.) Stapf,4.516667,9.25
1596,Funtumia africana (Benth.) Stapf,4.52,9.25
1597,Funtumia africana (Benth.) Stapf,4.51666,9.25
1598,Funtumia africana (Benth.) Stapf,0.616667,10.35
1601,Funtumia africana (Benth.) Stapf,-2.233333,11.533333
1602,Funtumia africana (Benth.) Stapf,4.97,9.42
1604,Funtumia africana (Benth.) Stapf,4.966667,9.416667
1610,Funtumia africana (Benth.) Stapf,0.933333,11.316667
1613,Funtumia africana (Benth.) Stapf,0.933333,11.3167
1617,Funtumia africana (Benth.) Stapf,0.733333,11.366667
1627,Funtumia africana (Benth.) Stapf,0.73,11.37
1636,Funtumia africana (Benth.) Stapf,8.28,21.15
1638,Funtumia africana (Benth.) Stapf,8.28333,21.15
1639,Funtumia africana (Benth.) Stapf,8.283333,21.15
1655,Funtumia africana (Benth.) Stapf,7.7,0.8
1657,Funtumia africana (Benth.) Stapf,4.97,8.92
1658,Funtumia africana (Benth.) Stapf,4.966667,8.916667
1662,Funtumia africana (Benth.) Stapf,-7.8,36.883333
1663,Funtumia africana (Benth.) Stapf,4.96666,8.91666
1665,Funtumia africana (Benth.) Stapf,-1.833333,11.166667
1666,Funtumia africana (Benth.) Stapf,0,0
1675,Funtumia africana (Benth.) Stapf,5.15,-2.066667
1678,Funtumia africana (Benth.) Stapf,0.7,11.383333
1688,Funtumia africana (Benth.) Stapf,4.979599,8.337359
