"","species","lat","long"
"83","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.990204,2.171376
"84","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.990389,2.171528
"85","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.53105,7.58078
"86","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.988674,2.170637
"87","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.988488,2.170915
"88","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.989053,2.170984
"89","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.988323,2.17104
"90","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.988701,2.171213
"91","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.988325,2.171252
"92","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.988887,2.171379
"93","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.98858,2.171459
"94","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982526,2.177127
"95","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.98288,2.177226
"96","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.53543,7.6078
"97","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982858,2.176462
"98","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.983059,2.176558
"99","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982569,2.176626
"100","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.960519,2.165885
"101","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.960887,2.168137
"102","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.961031,2.168099
"103","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.964905,2.16419
"104","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.980719,2.17389
"105","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979264,2.173923
"106","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975613,2.17396
"107","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97677,2.173969
"108","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.978979,2.174031
"109","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97902,2.174121
"110","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979196,2.17413
"111","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979031,2.174355
"112","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979022,2.174357
"113","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975803,2.174445
"114","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979258,2.174449
"115","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979238,2.174541
"116","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.980914,2.174567
"117","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979191,2.174579
"118","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97957,2.174628
"119","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975877,2.174649
"120","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979809,2.174732
"121","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975689,2.174754
"122","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.978925,2.174779
"123","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976095,2.175947
"124","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97787,2.175964
"125","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976078,2.175984
"126","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.978179,2.175985
"127","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976164,2.175993
"128","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975883,2.176002
"129","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.978172,2.176214
"130","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977585,2.176281
"131","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975989,2.176327
"132","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976599,2.176332
"133","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976246,2.176359
"134","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976571,2.176414
"135","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976016,2.176494
"136","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975836,2.176523
"137","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977566,2.176523
"138","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97653,2.176569
"139","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976351,2.176582
"140","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977537,2.176609
"141","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977972,2.176638
"142","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982403,2.176644
"143","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97759,2.176681
"144","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976153,2.176695
"145","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982372,2.176889
"146","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.98306,2.177039
"147","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.25607,6.52699
"148","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.27064,6.45757
"149","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.28404,6.28404
"150","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.30034,6.42677
"151","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.30502,6.45319
"152","Holarrhena floribunda (G.Don) T.Durand & Schinz",8.68684,-8.87597
"158","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.910474,2.398989
"159","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.915343,2.401074
"160","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.910456,2.398863
"161","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.910592,2.398962
"162","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.91052,2.399252
"163","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.913426,2.401122
"164","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.915433,2.400975
"165","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.915452,2.401065
"166","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.91694,2.411898
"167","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.91722,2.411889
"168","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.858429,2.462138
"169","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.859016,2.461621
"170","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.857858,2.461125
"199","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982665,2.174573
"200","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982602,2.174292
"201","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.98258,2.174197
"202","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982947,2.174328
"203","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.983258,2.174063
"204","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.983163,2.174763
"225","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.978492,2.171755
"226","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976368,2.172063
"227","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975442,2.171972
"228","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975582,2.17182
"229","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975913,2.171838
"230","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976217,2.171812
"231","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975982,2.171535
"232","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97616,2.171395
"233","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.976038,2.171275
"234","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975912,2.171358
"235","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97582,2.171302
"236","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977735,2.16713
"237","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977125,2.167127
"238","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97748,2.167237
"239","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977595,2.16718
"240","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977925,2.167013
