,species,lat,long
148,Pycnanthus angolensis (Welw.) Warb.,6.003786,-0.651144
149,Pycnanthus angolensis (Welw.) Warb.,6.003786,-0.653204
150,Pycnanthus angolensis (Welw.) Warb.,6.003786,-0.656638
151,Pycnanthus angolensis (Welw.) Warb.,6.003103,-0.658697
152,Pycnanthus angolensis (Welw.) Warb.,6.003103,-0.660757
153,Pycnanthus angolensis (Welw.) Warb.,6.318907,-0.534447
154,Pycnanthus angolensis (Welw.) Warb.,5.932179,-2.916703
155,Pycnanthus angolensis (Welw.) Warb.,5.930792,-2.918334
156,Pycnanthus angolensis (Welw.) Warb.,5.933379,-2.916999
157,Pycnanthus angolensis (Welw.) Warb.,5.933664,-2.916579
158,Pycnanthus angolensis (Welw.) Warb.,5.933357,-2.916491
159,Pycnanthus angolensis (Welw.) Warb.,0.40699,10.21492
161,Pycnanthus angolensis (Welw.) Warb.,0.214906,6.50803
162,Pycnanthus angolensis (Welw.) Warb.,0.224678,6.495229
163,Pycnanthus angolensis (Welw.) Warb.,0.233248,6.486377
165,Pycnanthus angolensis (Welw.) Warb.,0.253178,6.487426
166,Pycnanthus angolensis (Welw.) Warb.,0.258333,6.48081
167,Pycnanthus angolensis (Welw.) Warb.,0.261402,6.472579
168,Pycnanthus angolensis (Welw.) Warb.,0.243737,6.479072
169,Pycnanthus angolensis (Welw.) Warb.,0.327459,6.624634
170,Pycnanthus angolensis (Welw.) Warb.,0.255737,6.488979
171,Pycnanthus angolensis (Welw.) Warb.,0.338201,6.630877
172,Pycnanthus angolensis (Welw.) Warb.,-0.12514,9.87146
173,Pycnanthus angolensis (Welw.) Warb.,-0.10447,9.86485
176,Pycnanthus angolensis (Welw.) Warb.,0.252065,6.499571
177,Pycnanthus angolensis (Welw.) Warb.,-0.17419,9.68288
178,Pycnanthus angolensis (Welw.) Warb.,-1.82775,14.22544
181,Pycnanthus angolensis (Welw.) Warb.,3.734502,12.164105
183,Pycnanthus angolensis (Welw.) Exell,0.388947,10.248394
184,Pycnanthus angolensis (Welw.) Exell,0.388947,10.248843
185,Pycnanthus angolensis (Welw.) Exell,0.388498,10.243447
