"","species","lat","long"
"101","Ricinodendron heudelotii (Baill.) Heckel",6.648451,-4.204244
"103","Ricinodendron heudelotii (Baill.) Heckel",6.70833,-4.70449
"104","Ricinodendron heudelotii (Baill.) Heckel",6.505369,-5.275552
"107","Ricinodendron heudelotii (Baill.) Heckel",6.656772,-4.725196
"108","Ricinodendron heudelotii (Baill.) Heckel",9.239119,1.193681
"109","Ricinodendron heudelotii subsp. heudelotii",5.075,9.724
"110","Ricinodendron heudelotii subsp. heudelotii",5.077,9.72
"111","Ricinodendron heudelotii (Baill.) Heckel",5.36065,-3.91562
"112","Ricinodendron heudelotii subsp. heudelotii",4.928,9.999
"127","Ricinodendron heudelotii subsp. heudelotii",4.927,10
"129","Ricinodendron heudelotii (Baill.) Heckel",6.63,2.4032
"130","Ricinodendron heudelotii (Baill.) Heckel",6.63,2.4578
"131","Ricinodendron heudelotii subsp. heudelotii",4.981,8.957
"132","Ricinodendron heudelotii subsp. heudelotii",4.98,8.957
"133","Ricinodendron heudelotii (Baill.) Heckel",6.964424,2.667843
"134","Ricinodendron heudelotii (Baill.) Heckel",6.964207,2.667853
"135","Ricinodendron heudelotii (Baill.) Heckel",6.964979,2.671636
"136","Ricinodendron heudelotii (Baill.) Heckel",6.964789,2.671953
"137","Ricinodendron heudelotii (Baill.) Heckel",6.965287,2.67265
"138","Ricinodendron heudelotii (Baill.) Heckel",7.456136,2.586582
"139","Ricinodendron heudelotii (Baill.) Heckel",7.45554,2.5871
"140","Ricinodendron heudelotii (Baill.) Heckel",6.964596,2.667364
"141","Ricinodendron heudelotii (Baill.) Heckel",6.963746,2.667862
"142","Ricinodendron heudelotii (Baill.) Heckel",6.963828,2.66893
"143","Ricinodendron heudelotii (Baill.) Heckel",6.964598,2.669763
"144","Ricinodendron heudelotii (Baill.) Heckel",6.964553,2.670052
"145","Ricinodendron heudelotii (Baill.) Heckel",6.964925,2.672053
"146","Ricinodendron heudelotii (Baill.) Heckel",6.964735,2.672089
"147","Ricinodendron heudelotii (Baill.) Heckel",6.966146,2.672333
"148","Ricinodendron heudelotii (Baill.) Heckel",6.966173,2.672477
"149","Ricinodendron heudelotii (Baill.) Heckel",6.965441,2.672577
"150","Ricinodendron heudelotii (Baill.) Heckel",6.965513,2.672822
"151","Ricinodendron heudelotii (Baill.) Heckel",6.965423,2.672822
"152","Ricinodendron heudelotii (Baill.) Heckel",6.965577,2.672903
"153","Ricinodendron heudelotii (Baill.) Heckel",6.965668,2.673682
"154","Ricinodendron heudelotii (Baill.) Heckel",6.961391,2.676582
"155","Ricinodendron heudelotii (Baill.) Heckel",7.46221,2.581348
"156","Ricinodendron heudelotii (Baill.) Heckel",7.455756,2.586075
"157","Ricinodendron heudelotii (Baill.) Heckel",7.455521,2.586646
"158","Ricinodendron heudelotii (Baill.) Heckel",7.455992,2.586873
"159","Ricinodendron heudelotii (Baill.) Heckel",7.455712,2.587099
"160","Ricinodendron heudelotii (Baill.) Heckel",6.964217,2.668405
"161","Ricinodendron heudelotii (Baill.) Heckel",6.963611,2.668614
"162","Ricinodendron heudelotii (Baill.) Heckel",6.963683,2.669039
"163","Ricinodendron heudelotii (Baill.) Heckel",7.455639,2.586565
"164","Ricinodendron heudelotii (Baill.) Heckel",6.96413,2.674172
"165","Ricinodendron heudelotii (Baill.) Heckel",6.964972,2.674533
"166","Ricinodendron heudelotii (Baill.) Heckel",6.964221,2.674552
"167","Ricinodendron heudelotii (Baill.) Heckel",-7.743651,36.850891
"168","Ricinodendron heudelotii subsp. heudelotii",6.795,10.1
